Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C,Manufacturer,Pattern Type
AEROGEAR 600 & AP,15 - 17,18'M - 18'C,22M X 22C,11B,7B,8T,7T - 6B,Carlton,Badminton
AEROGEAR 700 & FX,16 - 18,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
AEROGEAR 800,16 - 18,18'M - 18'C,22M X 23C,11B,7B,7T,6T - 6B,Carlton,Badminton
AEROGEAR 800 HT,20 - 25,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
AEROGEAR 900 FX,16 - 18,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
AEROGEAR F800,16 - 18,18'M - 18'C,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
AIR BLADE,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
AIR EDGE,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
AIR RAGE,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
ALUMINUM (72 HOLES),15 - 17,18'M - 18'C,22M X 23C,11B,5B,7T,6T - 6B,Carlton,Badminton
ALUMINUM (74 HOLES),15 - 17,18'M - 18'C,22M X 23C,11B,3B,8T,6T - 7B,Carlton,Badminton
BORON CLASSIC,15 - 17,18'M - 18'C,22M X 24C,11B,5B,7T,6T - 6B,Carlton,Badminton
C-7500,13 - 15,18'M - 18'C,22M X 23C,11B,6B,7T,6T - 7B,Carlton,Badminton
C-9000,13 - 15,18'M - 18'C,22M X 23C,11B,7B,7T,6T - 6B,Carlton,Badminton
C-9250,13 - 15,18'M - 18'C,22M X 21C,11B,6B,7T,6T - 7B,Carlton,Badminton
C-9500,13 - 15,18'M - 18'C,22M X 21C,11B,6B,7T,6T - 7B,Carlton,Badminton
C-9750,13 - 15,18'M - 18'C,22M X 21C,11B,6B,7T,6T - 7B,Carlton,Badminton
CARLTON FLEX,14 - 16,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
CARLTON GAME,14 - 16,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
CARLTON PLAY,14 - 16,34' - 9'S,22M X 21C,11B,6B,8B,6T,Carlton,Badminton
CARLTON POWER,14 - 16,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
CERAMIC,15 - 17,18'M - 18'C,20M X 22C,"9,11T - 10B",6B,9T,7T - 7B,Carlton,Badminton
CLASSIC CARBON,16 - 18,34' - 9'S,22M X 23C,11B,8B,9B,6T,Carlton,Badminton
CLASSIC GRAPHITE,16 - 18,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
IGNITE FLARE,18 - 28,33' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
IGNITE FUSION,18 - 28,33' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
IGNITE RAPID,18 - 28,33' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
INTEGRA COMP,15 - 17,17'M - 17'C,22M X 22C,11B,8B,7T,6T - 3B,Carlton,Badminton
INTEGRA FLEX,14 - 16,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
INTEGRA SMASH,15 - 17,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
KENESIS,18 - 28,33' - 9'S,22M X 21C,11T - 11B,7B,8B,7T,Carlton,Badminton
POWER FLO,14 - 16,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
POWER FLO 85G,16 - 18,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
POWER FLO BR,16 - 18,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
POWER FLO FLEX CERAMIC,16 - 18,18'M - 18'C,22M X 23C,11B,7B,7T,6T - 6B,Carlton,Badminton
POWER FLO TT FLEX,16 - 18,18'M - 18'C,22M X 23C,11B,7B,7T,6T - 6B,Carlton,Badminton
RAZOR V1.0,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",7B,8B,9T,Carlton,Badminton
RAZOR V1.1,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",7B,8B,9T,Carlton,Badminton
RAZOR V1.2,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",7B,8B,9T,Carlton,Badminton
RAZOR V1.3,18 - 28,33' - 9'S,20M X 21C,"8,10,12T - 8,10,12B",9T,8T,6B,Carlton,Badminton
VAPOUR TRAIL ELITE,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
VAPOUR TRAIL PURE,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
VAPOUR TRAIL S LITE,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
VAPOUR TRAIL STORM,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
VAPOUR TRAIL TOUR,18 - 28,33' - 9'S,22M X 22C,"8,10,12,14T - 11B",8B,9B,5T,Carlton,Badminton
ACADEMY PRO ULTRA OS,58 - 68,36' - 9'S,16M X 19C,8T - 8B,7B,8B,6T,Donnay,Tennis
APOLLO PRO,58 - 66,35' - 9'S,18M X 20C,"8,10,11T - 8,10,11B",7B,8B,9T,Donnay,Tennis
