Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C,Manufacturer,Pattern Type
BLX SIX-ONE TEAM 95 (18x20),50 - 60,20'M - 17'C,18M X 20C,"8,10T - 8,10B",7T,8T,5T - 9B,Wilson,Tennis
BLX SIX-ONE TOUR 90,50 - 60,18'M - 16'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
BLX STEAM 100,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",5T,7T,4T - 12B,Wilson,Tennis
BLX STEAM 105 S,57 - 67,20'M - 17'C,16M X 15C,"7,9T - 7,9B",8B,7T,4T - 9B,Wilson,Tennis
BLX STEAM 96,50 - 60,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 9B,Wilson,Tennis
BLX STEAM 99,50 - 60,20'M - 18'C,16M X 18C,"7,9T - 7,9B",8B,7T,5T - 9B,Wilson,Tennis
BLX STEAM 99 S,54 - 64,20'M -17'C,16M X 15C,8T - 8B,6B,8T,5T - 11B,Wilson,Tennis
BLX STRATUS THREE,55 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
BLX SURGE 100,53 - 63,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Wilson,Tennis
BLX TEMPEST FOUR,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,6T - 5B,Wilson,Tennis
BLX THREE,55 - 65,22'M - 18'C,16M X 19C,"7,9,10T",7B,7T,5T - 10B,Wilson,Tennis
BLX TIDAL FORCE,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
BLX TIDAL WAVE 105,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
BLX TOUR 95,50 - 60,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 10B,Wilson,Tennis
BLX TWO,55 - 65,21'M -18'C,16M X 20C,"7,9T - 7,9B",5T,7T,8T - 6B,Wilson,Tennis
BURN 100,50 - 60,20'M - 18'C,16M X 19C,"7,9T - 8B",5B,7T,6T - 11B,Wilson,Tennis
BURN 100 COUNTERVAIL,50 - 60,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Wilson,Tennis
BURN 100 LS,50 - 60,20'M - 18'C,18M X 16C,"8,10T - 9B",6B,8T,6T - 11B,Wilson,Tennis
BURN 100 LS COUNTERVAIL,50 - 60,20'M - 18'C,18M X 16C,"8,10T - 9B",6B,8T,6T - 11B,Wilson,Tennis
BURN 100 S,51 - 61,20'M - 16'C,18M X 16C,"8,10T - 9B",6B,8T,6T - 11B,Wilson,Tennis
BURN 100 S COUNTERVAIL,50 - 60,20'M - 16'C,18M X 16C,"8,10T - 9B",6B,8T,6T - 11B,Wilson,Tennis
BURN 100 TEAM,48 - 58,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 9B,Wilson,Tennis
BURN 100 ULS,50 - 60,20'M - 18'C,18M X 16C,"8,10T - 9B",6B,8T,6T - 11B,Wilson,Tennis
BURN 95,48 - 58,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8B,7T,8T - 6B,Wilson,Tennis
BURN 95 COUNTERVAIL,50 - 60,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8B,7T,8T - 6B,Wilson,Tennis
BURN FST 95,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Wilson,Tennis
BURN FST 99,50 - 60,20'M - 19'C,18M X 19C,"8,10T - 8,10B",9B,8T,6T - 7B,Wilson,Tennis
BURN FST 99S,50 - 60,20'M - 18'C,18M X 17C,9T - 9B,8B,9T,6T - 7B,Wilson,Tennis
CLASH 100,47 - 57,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B,Wilson,Tennis
CLASH TOUR 100,47 - 57,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B,Wilson,Tennis
H BLAZE 95,53 - 63,18'M - 16'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H COSMO 115,55 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H CYCLONE,55 - 65,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Wilson,Tennis
H RIVAL 112,55 - 65,20'M - 19'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
H RIVAL 96,53 - 63,20'M - 19'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H TOUR 105,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H TOUR 95,50 - 60,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H WAVE 100,53 - 63,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H1 OUTER EDGE 135,55 - 65,24'M - 19'C,18M X 21C,"8,10T - 8,10B",7T,8T,5T - 12B,Wilson,Tennis
H2 OS,55 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H4 OS,55 - 65,20'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H5 MP,55 - 65,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H5 OS,55 - 65,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H6 MP,50 - 60,19'M - 17'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
H6 OS,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HAMMER 2.7 110,53 - 63,21'M - 18'C,18M X 20C,"8,10T - 8,10B",6B,8T,5T - 13B,Wilson,Tennis
HAMMER 2.7 95,48 - 58,19'M - 17'C,18M X 20C,"8,10T - 8,10B",6B,8T,5T - 13B,Wilson,Tennis
HAMMER 3.0 Ti STRETCH,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 3.2 Ti P. H. 118,53 - 63,21'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,9T - 12B,Wilson,Tennis
HAMMER 3.6 STRETCH 125,55 - 65,22'M - 18'C,18M X 21C,"8,10T - 8,10B",7T,8T,5T - 6B,Wilson,Tennis
HAMMER 4.0 110,53 - 63,21'M - 18'C,18M X 20C,"8,10T - 8,10B",6B,8T,5T - 13B,Wilson,Tennis
HAMMER 4.0 95,48 - 58,19'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,5T - 13B,Wilson,Tennis
HAMMER 4.0 STRETCH 110,53 - 63,21'M - 18'C,18M X 20C,"8,10T - 8,10B",7T,8T,5T - 6B,Wilson,Tennis
HAMMER 4.0 STRETCH 95,50 - 60,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HAMMER 4.4 Ti STRETCH 110,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 4.4 Ti STRETCH 95,53 - 63,19'M - 16'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 5.0 110,53 - 63,21'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 12B,Wilson,Tennis
HAMMER 5.0 95,50 - 60,19'M - 18'C,16M X 18C,"7,9T - 7,9B",8B,7T,5T - 12B,Wilson,Tennis
HAMMER 5.0 STRETCH 110,53 - 63,21'M - 18'C,18M X 20C,"8,10T - 8,10B",7T,8T,5T - 6B,Wilson,Tennis
HAMMER 5.0 STRETCH 95,53 - 63,18'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 5.2 110,53 - 63,21'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,5T - 13B,Wilson,Tennis
HAMMER 5.2 95,50 - 60,19'M - 16'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HAMMER 5.4 PH 110,53 - 63,21'M - 18'C,18M X 20C,"8,10T - 8,10B",9T,8T,7T - 6B,Wilson,Tennis
HAMMER 5.5 95,53 - 63,18'M - 14'C,16M X 18C,"7,9T - 7,9B",6T,7T,4T - 11B,Wilson,Tennis
HAMMER 5.5 STRETCH 110,55 - 65,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HAMMER 5.5 STRETCH 95,53 - 63,18'M - 14'C,16M X 18C,"7,9T - 7,9B",6T,7T,4T - 11B,Wilson,Tennis
HAMMER 5.8 110,55 - 65,20'M - 18'C,16M X 21C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 5.8 95,53 - 63,18'M - 16'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HAMMER 6.2 110,55 - 65,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,4T - 9B,Wilson,Tennis
HAMMER 6.2 95,50 - 60,18'M - 16'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HAMMER 6.2 MP POWER HOLES,53 - 63,18'M - 19'C,16M X 20C,"7,9T - 7,9B",6T,7T,4T - 11B,Wilson,Tennis
HAMMER 6.2 STRETCH 110,50 - 65,21'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,6T - 14B,Wilson,Tennis
HAMMER 6.2 STRETCH 95,50 - 65,18'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 6.4 PH 95,53 - 63,18'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,6T - 11B,Wilson,Tennis
HAMMER 6.4 PH STRETCH 110,55 - 65,21'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,9T - 12B,Wilson,Tennis
HAMMER 7.0 Ti STRETCH 110,53 - 63,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HAMMER 7.0 Ti STRETCH 95,50 - 60,18'M - 16'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HAMMER 7.2 110,55 - 65,19'M - 17'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 9B,Wilson,Tennis
HAMMER 7.2 95,55 - 65,19'M - 16'C,16M X 18C,"7,9T - 7,9B",6T,7T,5T - 12B,Wilson,Tennis
HAMMER 7.3 Ti STRETCH 100,53 - 63,19'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 7.3 Ti STRETCH 110,55 - 65,22'M - 18'C,18M X 20C,"8,10T - 8,10B",7B,8T,6T - 12B,Wilson,Tennis
HAMMER 7.4 110,55 - 65,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HAMMER 7.4 95,50 - 60,19'M - 17'C,16M X 18C,"7,9T - 7,9B",8B,7T,5T - 11B,Wilson,Tennis
HAMMER 7.4 STRETCH 110,53 - 63,21'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,5T - 13B,Wilson,Tennis
HAMMER 7.4 STRETCH 95,50 - 60,18'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HAMMER 8.0 Ti STRETCH,53 - 63,21'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,5T - 13B,Wilson,Tennis
HAMMER 8.2 Ti STRETCH,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6T,7T,4T - 11B,Wilson,Tennis
HAMMER 8.4 Ti STRETCH,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6T,7T,4T - 11B,Wilson,Tennis
HAMMER 8.8 Ti STRETCH,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6T,7T,4T - 11B,Wilson,Tennis
HAMMER XP,55 - 65,20'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 2.1 LITE 115,50 - 60,21'M - 19'C,16M X 19C,"6,8,10,11T - 8B",6B,6T,3T - 11B,Wilson,Tennis
HYPER HAMMER 2.3 STRETCH 110,50 - 60,20'M - 17'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER HAMMER 2.3 STRETCH 120,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER HAMMER 2.7 115,50 - 60,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 2.8 125,55 - 65,21'M - 19'C,16M X 20C,"6,8,10T",7T,6T,4T - 11B,Wilson,Tennis
HYPER HAMMER 3.3 115,50 - 60,20'M - 18'C,16M X 19C,"6,8,10,11T - 8B",6B,6T,3T - 11B,Wilson,Tennis
HYPER HAMMER 3.3 135,53 - 63,22'M - 21'C,16M X 21C,"6,8,10,11T - 8B",7T,6T,4T - 11B,Wilson,Tennis
HYPER HAMMER 3.9 OS,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 4.0 100,53 - 63,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 4.0 110,55 - 65,20'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 4.3 P.H. 100,53 - 63,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 4.3 P.H. 110,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 5.2 106,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER HAMMER 5.2 95,53 - 63,19'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 5.3 STRETCH 110,53 - 63,19'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER HAMMER 5.3 STRETCH 95,53 - 63,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 5.4 95,53 - 63,19'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 5.9 110,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 12B,Wilson,Tennis
HYPER HAMMER 5.9 95,55 - 65,19'M - 15'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER HAMMER 6.2 110,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER HAMMER 6.2 95,50 - 60,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER 6.3 110,53 - 63,21'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,6T - 14B,Wilson,Tennis
HYPER HAMMER 6.3 95,50 - 60,18'M - 16'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HYPER HAMMER ROLLERS 2.6 115,50 - 60,22'M - 18'C,16M X 20C,"6,8,10,11T",6B,6T,4T - 11B,Wilson,Tennis
HYPER HAMMER ROLLERS 3.6 115,50 - 60,22'M - 18'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 11B,Wilson,Tennis
HYPER HAMMER ROLLERS 5.6 110,55 - 65,20'M - 18'C,16M X 21C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER ROLLERS 5.6 95,53 - 63,19'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER ROLLERS 6.6 98,55 - 66,20'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER HAMMER ROLLERS 7.6 98,55 - 66,20'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER ION POWER X 4,50 - 60,38' - 10'S,16M X 20C,"7,9T - 7,9B",6B,7B,5T,Wilson,Tennis
HYPER PRO SRAFF 5.1 SURGE X,53 - 63,19'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Wilson,Tennis
HYPER PRO STAFF 5.0 95,53 - 63,18'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER PRO STAFF 5.0 STRETCH 110,55 - 65,19'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER PRO STAFF 5.0 STRETCH 95,53 - 63,18'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER PRO STAFF 5.1 SURGE 100,53 - 63,19'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Wilson,Tennis
HYPER PRO STAFF 6.1 95,50 - 60,18'M - 16'C,16M X 18C,"7,9T - 7,9B",8B,7T,5T - 11B,Wilson,Tennis
HYPER PRO STAFF 6.1 STRETCH 106,53 - 63,20'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER PRO STAFF 6.1 STRETCH 95,50 - 60,19'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,5T - 13B,Wilson,Tennis
HYPER PRO STAFF 6.1 TOUR 95,53 - 63,19'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,5T - 13B,Wilson,Tennis
HYPER PRO STAFF 6.5 110,55 - 65,22'M - 18'C,18M X 19C,"8,10T - 8,10B",7B,8T,6T - 14B,Wilson,Tennis
HYPER PRO STAFF 6.5 95,53 - 63,20'M - 17'C,18M X 20C,"8,10T - 8,10B",7T,8T,5T - 14B,Wilson,Tennis
HYPER PRO STAFF 6.7 EXTREME 110,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HYPER PRO STAFF 6.7 EXTREME 95,53 - 63,20'M - 18'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HYPER PRO STAFF 7.1 ZONE 95,50 - 60,19'M - 16'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER PRO STAFF 7.6 ROLLERS,55 - 65,20'M - 16'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER PRO STAFF ROK 102,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,5T - 9B,Wilson,Tennis
HYPER PRO STAFF ROK 93,50 - 60,20'M - 16'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B,Wilson,Tennis
HYPER PRO STAFF TORCH 110,53 - 64,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
HYPER PRO STAFF TORCH 95,53 - 64,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 13B,Wilson,Tennis
HYPER PRO STAFF TOUR 90,50 - 60,18'M - 16'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
HYPER SLEDGEHAMMER 2.0 STRETCH 115,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 8B",6B,7T,5T - 11B,Wilson,Tennis
HYPER SLEDGEHAMMER 2.0 STRETCH 125,55 - 65,22'M - 20'C,16M X 20C,"7,9T",6T,7T,4T - 7B,Wilson,Tennis
JUICE 100,50 - 60,20'M - 18'C,16M X 18C,"8T - 7,9B",6B,8T,5T - 11B,Wilson,Tennis
JUICE 100 L,50 - 60,20'M - 19'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
JUICE 100 S,54 - 64,20'M - 17'C,16M X 15C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
JUICE 100 UL,50 - 60,20'M - 19'C,16M X 18C,"8T - 7,9B",8B,8T,6T - 9B,Wilson,Tennis
JUICE 108,51 - 61,20'M - 19'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
K BLADE 98,50 - 60,21'M - 19'C,18M X 20C,"8,10T - 8,10B",7B,8T,6T - 12B,Wilson,Tennis
K BLADE TEAM 104,53 - 63,21'M - 19'C,18M X 19C,9T - 9B,7B,9T,6T - 12B,Wilson,Tennis
K BLADE TOUR 93,50 - 60,21'M - 19'C,18M X 20C,"8,10T - 8,10B",7B,8T,6T - 12B,Wilson,Tennis
K BOLD,53 - 63,20'M - 19'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
K BRAVE 103,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
K COURT 100,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
K FIERCE FX,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
K FIVE 108,53 - 63,21'M - 19'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 12B,Wilson,Tennis
K FIVE 98,50 - 60,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 12B,Wilson,Tennis
K FOUR 105,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,4T - 5B,Wilson,Tennis
K FOUR 112,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,4T - 5B,Wilson,Tennis
K FOUR FX,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
K FURY 100,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
K OBRA TEAM FX 99,50 - 60,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 10B,Wilson,Tennis
K OBRA TOUR 99,50 - 60,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 10B,Wilson,Tennis
K ONE 122,55 - 65,21'M - 21'C,16M X 19C,"7,9,10T",6T,7T,4T - 7B,Wilson,Tennis
K ONE FX 122,55 - 65,21'M - 21'C,16M X 19C,"7,9,10T",6T,7T,4T - 8B,Wilson,Tennis
K PRO OPEN 100,53 - 63,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 12B,Wilson,Tennis
K PRO SIX,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 12B,Wilson,Tennis
K PRO STAFF 88,50 - 60,18'M - 16'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
K PRO TEAM FX 100,53 - 63,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 10B,Wilson,Tennis
K PRO TOUR 95,50 - 60,20'M - 17'C,16M X 20C,8T - 8B,6B,8T,5T - 12B,Wilson,Tennis
K SIX-ONE 95 (16x18 pattern),50 - 60,20'M - 18'C,16M X 18C,"7,9T - 7,9B",8B,7T,5T - 11B,Wilson,Tennis
K SIX-ONE 95 (18x20 pattern),50 - 60,20'M - 17'C,18M X 20C,"8,10T - 8,10B",9B,8T,5T - 13B,Wilson,Tennis
K SIX-ONE TEAM 95,50 - 60,21'M - 17'C,18M X 20C,"8,10T - 8,10B",7T,8T,5T - 14B,Wilson,Tennis
K SIX-ONE TOUR 90,50 - 60,18'M - 16'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
K SIX-ONE X 95,50 - 60,18'M - 18'C,16M X 18C,"7,9T - 7,9B",8B,7T,5T - 11B,Wilson,Tennis
K SIX-TWO 100,53 - 63,20'M - 17'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B,Wilson,Tennis
K STING 105,53 - 63,20'M -18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 12B,Wilson,Tennis
K SURGE 100,53 - 63,19'M - 16'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Wilson,Tennis
K THREE 115,55 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
K THREE FX 115,55 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
K TOUR 95,50 - 60,20'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 12B,Wilson,Tennis
K TOUR TEAM FX 102,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 9B,Wilson,Tennis
K ZEN 103,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6T,7T,4T - 6B,Wilson,Tennis
K ZEN TEAM 103,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6T,7T,4T - 6B,Wilson,Tennis
K ZEN TEAM FX,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6T,7T,4T - 8B,Wilson,Tennis
K ZERO 118,55 - 65,22'M - 18'C,16M X 19C,"5,7,9,11,12T",6B,5T,3T - 11B,Wilson,Tennis
n1 115,55 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n1 FORCE,55 - 65,21'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n2,55 - 65,22'M - 20'C,16M X 20C,"6,8,10T",7T,6T,4T - 7B,Wilson,Tennis
n3,55 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n4 101,53 - 63,19'M - 17'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n4 111,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n5 110,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n5 98,51 - 61,19'M - 17'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n5 FORCE 110,53 - 63,21'M - 19'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T -11B,Wilson,Tennis
n5 FORCE 98,50 - 60,20'M - 19'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T -11B,Wilson,Tennis
n6 110,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
n6 95,51 - 61,19'M - 17'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 11B,Wilson,Tennis
nBLADE 106,53 - 63,21'M - 19'C,18M X 19C,9T - 9B,7B,9T,6T - 12B,Wilson,Tennis
